BITMASK
char_type
VALUE
variables_declare_set_int
SETUP
setup_loop_structure
workspace
VAR
controls_for
FROM
TO
BY
NUM
math_number
channel
dc_motor
speed
DO
LOOP
TEXT
text
dwenguino_lcd
line_number
character_number
OP
logic_compare
variables_get_int
A
B
IF0
controls_if
DO0
ELSE
MODE
controls_whileUntil
BOOL
math_arithmetic
DELAY_TIME
dwenguino_delay
